Id,PuzzleId,State,GridValue,MoveIds
43472,spoke_sunlight,spoke_sunlight:start:['start'],start,['start']
82590,spoke_sunlight,spoke_sunlight:success:['success'],success,['success']
29419,spoke_sunlight,spoke_sunlight:failure:['failure'],failure,['failure']
10299,spoke_sunlight,spoke_sunlight:partial:['partial'],partial,['partial']
31519,spoke_sunlight,spoke_sunlight:correct:['hint:The plants Tomato is the hours 2hr:APPLY_IS'],correct,['hint:The plants Tomato is the hours 2hr:APPLY_IS']
12482,spoke_sunlight,"spoke_sunlight:correct:['hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
99894,spoke_sunlight,"spoke_sunlight:correct:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:APPLY_BEFORE_N_SPOTS', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:APPLY_BEFORE_N_SPOTS', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
52710,spoke_sunlight,"spoke_sunlight:correct:['hint:The plants Tomato is the hours 2hr:APPLY_IS', 'transitives::OPENING']",correct,"['hint:The plants Tomato is the hours 2hr:APPLY_IS', 'transitives::OPENING']"
33195,spoke_sunlight_alt,spoke_sunlight_alt:start:['start'],start,['start']
79193,spoke_sunlight_alt,spoke_sunlight_alt:success:['success'],success,['success']
66147,spoke_sunlight_alt,spoke_sunlight_alt:failure:['failure'],failure,['failure']
34180,spoke_sunlight_alt,spoke_sunlight_alt:partial:['partial'],partial,['partial']
17112,spoke_sunlight_alt,spoke_sunlight_alt:correct:['hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:SIMPLE_OR_SAME_CAT'],correct,['hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:SIMPLE_OR_SAME_CAT']
67716,spoke_sunlight_alt,"spoke_sunlight_alt:correct:['hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:SIMPLE_OR_SAME_CAT', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_NOINFO']",correct,"['hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:SIMPLE_OR_SAME_CAT', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_NOINFO']"
39140,spoke_sunlight_alt,"spoke_sunlight_alt:correct:['hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:SIMPLE_OR_SAME_CAT', 'hint:The plants Tomato is 2 hourss before the plants Spinach:BEFORE_NOINFO']",correct,"['hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:SIMPLE_OR_SAME_CAT', 'hint:The plants Tomato is 2 hourss before the plants Spinach:BEFORE_NOINFO']"
86538,spoke_sunlight_alt,"spoke_sunlight_alt:correct:['hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:SIMPLE_OR_SAME_CAT', 'hint:The plants Tomato is 2 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO']",correct,"['hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:SIMPLE_OR_SAME_CAT', 'hint:The plants Tomato is 2 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO']"
77239,spoke_sunlight_alt,spoke_sunlight_alt:correct:['transitives::OPENING'],correct,['transitives::OPENING']
13486,spoke_sunlight_alt,spoke_sunlight_alt:correct:['cross outs::CROSS_OUT'],correct,['cross outs::CROSS_OUT']
94532,spoke_sunlight_alt,spoke_sunlight_alt:correct:['unknown-correct:plants:hours:Pumpkin:6hr:O'],correct,['unknown-correct:plants:hours:Pumpkin:6hr:O']
27012,spoke_harvest,spoke_harvest:start:['start'],start,['start']
30899,spoke_harvest,spoke_harvest:success:['success'],success,['success']
99943,spoke_harvest,spoke_harvest:failure:['failure'],failure,['failure']
36057,spoke_harvest,spoke_harvest:partial:['partial'],partial,['partial']
22685,spoke_harvest,spoke_harvest:correct:['hint:The plant Eggplant is the days 60:APPLY_IS'],correct,['hint:The plant Eggplant is the days 60:APPLY_IS']
29621,spoke_harvest,spoke_harvest:correct:['cross outs::CROSS_OUT'],correct,['cross outs::CROSS_OUT']
87321,spoke_harvest,spoke_harvest:correct:['hint:The plant Green Onions is at least 1 days before the plant Eggplant:BEFORE_NOINFO'],correct,['hint:The plant Green Onions is at least 1 days before the plant Eggplant:BEFORE_NOINFO']
75223,spoke_harvest,spoke_harvest:correct:['hint:The plant Green Onions is at least 1 days before the plant Eggplant:APPLY_BEFORE_UNDEFINED_SPOTS'],correct,['hint:The plant Green Onions is at least 1 days before the plant Eggplant:APPLY_BEFORE_UNDEFINED_SPOTS']
97285,spoke_harvest,spoke_harvest:correct:['hint:Either the plant Green Onions or the plant Potatoes is the days 120:APPLY_OR'],correct,['hint:Either the plant Green Onions or the plant Potatoes is the days 120:APPLY_OR']
