Id,PuzzleId,State,GridValue,MoveIds
77675,spoke_sunlight,spoke_sunlight:start:['start'],start,['start']
66423,spoke_sunlight,spoke_sunlight:success:['success'],success,['success']
70315,spoke_sunlight,spoke_sunlight:failure:['failure'],failure,['failure']
55334,spoke_sunlight,spoke_sunlight:partial:['partial'],partial,['partial']
90783,spoke_sunlight,spoke_sunlight:correct:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO'],correct,['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO']
70706,spoke_sunlight,"spoke_sunlight:correct:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'unknown-correct:hours:plants:4hr:Pumpkin:X']",correct,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'unknown-correct:hours:plants:4hr:Pumpkin:X']"
73812,spoke_sunlight,"spoke_sunlight:correct:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'unknown-correct:hours:plants:8hr:Spinach:X']",correct,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'unknown-correct:hours:plants:8hr:Spinach:X']"
61922,spoke_sunlight,"spoke_sunlight:correct:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'unknown-correct:hours:plants:2hr:Spinach:X']",correct,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'unknown-correct:hours:plants:2hr:Spinach:X']"
76413,spoke_sunlight,spoke_sunlight:correct:['unknown-correct:plants:hours:Cauliflower:6hr:O'],correct,['unknown-correct:plants:hours:Cauliflower:6hr:O']
30935,spoke_sunlight,spoke_sunlight:correct:['cross outs::CROSS_OUT'],correct,['cross outs::CROSS_OUT']
10562,spoke_sunlight,spoke_sunlight:correct:['transitives::OPENING'],correct,['transitives::OPENING']
75773,spoke_sunlight,spoke_sunlight:correct:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO'],correct,['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO']
33447,spoke_sunlight,"spoke_sunlight:correct:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO', 'unknown-correct:hours:plants:2hr:Pumpkin:X']",correct,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO', 'unknown-correct:hours:plants:2hr:Pumpkin:X']"
46553,spoke_sunlight,"spoke_sunlight:correct:['cross outs::CROSS_OUT', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO']",correct,"['cross outs::CROSS_OUT', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO']"
46479,spoke_sunlight,spoke_sunlight:correct:['hint:The plants Tomato is the hours 2hr:APPLY_IS'],correct,['hint:The plants Tomato is the hours 2hr:APPLY_IS']
79300,spoke_sunlight_alt,spoke_sunlight_alt:start:['start'],start,['start']
52659,spoke_sunlight_alt,spoke_sunlight_alt:success:['success'],success,['success']
47111,spoke_sunlight_alt,spoke_sunlight_alt:failure:['failure'],failure,['failure']
49085,spoke_sunlight_alt,spoke_sunlight_alt:partial:['partial'],partial,['partial']
75901,spoke_sunlight_alt,spoke_sunlight_alt:correct:['unknown-correct:hours:plants:4hr:Cauliflower:X'],correct,['unknown-correct:hours:plants:4hr:Cauliflower:X']
56706,spoke_sunlight_alt,spoke_sunlight_alt:correct:['unknown-correct:hours:plants:2hr:Pumpkin:X'],correct,['unknown-correct:hours:plants:2hr:Pumpkin:X']
31161,spoke_sunlight_alt,spoke_sunlight_alt:correct:['hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_NOINFO'],correct,['hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_NOINFO']
